"","SubjID","Condition","Item","Region","GenderMatch","Referentiality","Phrase","RT","LogRT","Accuracy"
"5869",1680629231,"QuantificationalMatch",2,10,"Yes","Quantificational","sanitario",582,6.36647044773144,1
"5870",1680717894,"QuantificationalMatch",20,9,"Yes","Quantificational","antes",388,5.96100533962327,1
"5871",1680623508,"QuantificationalMatch",11,1,"Yes","Quantificational","a los",1933,7.56682847920833,1
"5872",1680623508,"QuantificationalMatch",15,0,"Yes","Quantificational","Los biologos",703,6.55535689181067,1
"5873",1680623508,"QuantificationalMatch",15,10,"Yes","Quantificational","los efectos",578,6.35957386867238,1
"5874",1680427646,"QuantificationalMatch",12,11,"Yes","Quantificational","enemigo.",378,5.93489419561959,1
"5875",1681838506,"QuantificationalMatch",10,0,"Yes","Quantificational","Las admiradoras",399,5.98896141688986,1
"5876",1681838506,"QuantificationalMatch",10,1,"Yes","Quantificational","a las",296,5.69035945432406,1
"5877",1681838506,"QuantificationalMatch",10,2,"Yes","Quantificational","que",264,5.57594910314632,1
"5878",1681838506,"QuantificationalMatch",10,3,"Yes","Quantificational","ning̼n actor",256,5.54517744447956,1
"5879",1680711323,"QuantificationalMatch",10,2,"Yes","Quantificational","que",375,5.92692602597041,1
"5880",1680711323,"QuantificationalMatch",10,8,"Yes","Quantificational","abuchearlo",689,6.53524127101366,1
"5881",1680711323,"QuantificationalMatch",10,3,"Yes","Quantificational","ningun actor",510,6.23441072571837,1
"5882",1680711323,"QuantificationalMatch",10,7,"Yes","Quantificational","deberian",561,6.3297209055227,1
"5883",1680711323,"QuantificationalMatch",14,5,"Yes","Quantificational","en",1140,7.03878354138854,1
"5884",1680623508,"QuantificationalMatch",15,2,"Yes","Quantificational","que",448,6.10479323241498,1
"5885",1680711323,"QuantificationalMatch",14,0,"Yes","Quantificational","Los cientificos",727,6.58892647753352,1
"5886",1680711323,"QuantificationalMatch",14,4,"Yes","Quantificational","escucho",583,6.36818718635049,1
"5887",1680420187,"QuantificationalMatch",12,2,"Yes","Quantificational","que",567,6.34035930372775,1
"5888",1680420187,"QuantificationalMatch",12,5,"Yes","Quantificational","en",530,6.27287700654617,1
"5889",1680420187,"QuantificationalMatch",12,9,"Yes","Quantificational","al ejercito",563,6.33327962813969,1
"5890",1680711323,"QuantificationalMatch",14,10,"Yes","Quantificational","de Quimica",1528,7.33171496972647,1
"5891",1680711323,"QuantificationalMatch",14,2,"Yes","Quantificational","que",437,6.07993319509559,1
"5892",1680451172,"QuantificationalMatch",12,6,"Yes","Quantificational","el castillo",768,6.64378973314767,1
