SubjID,Condition,Item,Region,GenderMatch,Referentiality,Phrase,RT,LogRT,Accuracy
1681228530,ReferentialMismatch,4,8,No,Referential,lo intentaron,532,6.2766434893416445,1
1681128423,ReferentialMismatch,2,7,No,Referential,la ambulancia,407,6.008813185442595,1
1681128423,ReferentialMismatch,2,8,No,Referential,lo deberian,736,6.601230118728877,1
1681128423,ReferentialMismatch,2,9,No,Referential,expulsar,704,6.556778356158042,1
1681128423,ReferentialMismatch,2,10,No,Referential,del equipo,456,6.1224928095143865,1
1681228530,ReferentialMismatch,8,1,No,Referential,Los ingenieros,642,6.464588303689961,1
1681228530,ReferentialMismatch,8,2,No,Referential,a los,572,6.349138991379798,1
1681228530,ReferentialMismatch,8,3,No,Referential,que,496,6.206575926724928,1
1681228530,ReferentialMismatch,8,4,No,Referential,la arquitecta,540,6.29156913955832,1
1681228530,ReferentialMismatch,8,5,No,Referential,no quiere,743,6.610696044717759,1
1681228530,ReferentialMismatch,8,6,No,Referential,en,555,6.318968113746434,1
1681228530,ReferentialMismatch,8,7,No,Referential,el equipo,575,6.354370040797351,1
1681228530,ReferentialMismatch,8,8,No,Referential,lo van,665,6.499787040655854,1
1681228530,ReferentialMismatch,8,9,No,Referential,a sabotear,792,6.674561391814426,1
1681228530,ReferentialMismatch,8,10,No,Referential,durante,661,6.493753839851686,1
1681228530,ReferentialMismatch,8,11,No,Referential,la reunion,631,6.447305862541213,1
1681228530,ReferentialMismatch,8,12,No,Referential,con,657,6.48768401848461,1
1681228530,ReferentialMismatch,8,13,No,Referential,los directivos.,812,6.699500340161678,1
1681128423,ReferentialMismatch,22,11,No,Referential,las audiciones.,472,6.156978985585555,1
1681128423,ReferentialMismatch,6,1,No,Referential,Los voluntarios,487,6.18826412308259,1
1681128423,ReferentialMismatch,6,2,No,Referential,a los,352,5.863631175598097,1
1681128423,ReferentialMismatch,6,3,No,Referential,que,384,5.950642552587727,1
1681128423,ReferentialMismatch,6,4,No,Referential,la refugiada,609,6.411818267709897,1
1681128423,ReferentialMismatch,6,5,No,Referential,no vio,759,6.63200177739563,1
1681386118,ReferentialMismatch,20,5,No,Referential,no animo,249,5.517452896464707,1
1681386118,ReferentialMismatch,20,6,No,Referential,durante,616,6.423246963533519,1
1681386118,ReferentialMismatch,20,7,No,Referential,la competicion,376,5.929589143389895,1
1681386118,ReferentialMismatch,20,8,No,Referential,la deberian,632,6.448889394146858,1
1681386118,ReferentialMismatch,20,9,No,Referential,despedir,511,6.236369590203704,1
1681214120,ReferentialMismatch,5,8,No,Referential,lo quieren,478,6.169610732491456,1
1681214120,ReferentialMismatch,5,9,No,Referential,sabotear,493,6.20050917404269,1
1681214120,ReferentialMismatch,5,10,No,Referential,durante,487,6.18826412308259,1
1681214120,ReferentialMismatch,5,11,No,Referential,el desfile,465,6.142037405587356,1
1681214120,ReferentialMismatch,5,12,No,Referential,de,488,6.1903154058531475,1
1681214120,ReferentialMismatch,5,13,No,Referential,la coleccion,646,6.470799503782602,1
1681214120,ReferentialMismatch,5,14,No,Referential,de invierno.,586,6.373319789577012,1
1681214120,ReferentialMismatch,9,1,No,Referential,Las clientas,494,6.202535517187923,1
1681214120,ReferentialMismatch,9,2,No,Referential,a las,549,6.3080984415095305,1
1681214120,ReferentialMismatch,9,3,No,Referential,que,556,6.320768294250582,1
